type,team,year,norm_epa,blue_banners,event_wins,event_finalists,total_awards,rank,elim_progression,state,worlds_winrate,worlds_qual_winrate,state_epa_rank,state_epa_percentile,total_epa_rank,total_epa_percentile,elim_alliance,elim_pick,count
regular,5625,2015,1513,0,0,0,1,66.0,0,MO,0.0,0.0,17.0,0.3462,1094.0,0.6192,,-1,
regular,5627,2015,1514,0,0,0,2,53.0,0,MO,0.0,0.0,75.0,0.6822,1076.0,0.6255,,-1,
regular,5627,2017,1567,0,0,0,4,50.0,0,TX,0.4,0.4,56.0,0.7993,758.0,0.7724,,-1,
regular,5630,2018,1465,0,0,1,3,18.0,0,TX,0.6667,0.6667,12.0,0.4,2293.0,0.366,,-1,
regular,5635,2017,1690,0,0,0,1,15.0,2,TX,0.7083,0.65,8.0,0.9722,157.0,0.9529,Alliance 4,2,
regular,5635,2023,1558,0,0,0,2,59.0,0,TX,0.45,0.45,55.0,0.8671,838.0,0.7448,,-1,
regular,564,2012,1492,1,0,0,1,89.0,0,MO,0.4444,0.4444,76.0,0.4286,1142.0,0.5103,,-1,
regular,564,2019,1564,1,0,0,2,37.0,0,MI,0.5,0.5,34.0,0.8023,901.0,0.7604,,-1,
regular,5648,2017,1460,1,1,0,1,63.0,0,TX,0.3,0.3,124.0,0.5694,2102.0,0.369,,-1,
regular,5648,2023,1397,0,0,0,1,70.0,0,TX,0.3,0.3,342.0,0.1739,3009.0,0.0837,,-1,
regular,5653,2023,1545,3,1,0,4,63.0,0,TX,0.3,0.3,47.0,0.7526,958.0,0.7083,Alliance 4,3,
regular,5654,2015,1485,1,1,0,1,71.0,0,MO,0.0,0.0,60.0,0.6386,1491.0,0.481,,-1,
regular,5654,2017,1682,1,1,1,3,7.0,7,TX,0.8235,0.8,7.0,0.9757,148.0,0.9556,Alliance 6,0,
regular,5654,2018,1667,0,0,2,5,22.0,1,TX,0.5455,0.6,18.0,0.9508,227.0,0.9372,Alliance 6,2,
regular,5654,2023,1631,0,0,0,2,40.0,0,TX,0.5,0.5,18.0,0.9565,336.0,0.8977,,-1,
regular,5655,2015,1359,0,0,0,1,75.0,0,MO,0.0,0.0,159.0,0.0422,2808.0,0.0226,,-1,
regular,5659,2015,1571,0,0,0,3,61.0,0,MO,0.0,0.0,27.0,0.8163,538.0,0.8127,,3,
regular,5663,2016,1550,0,0,1,3,22.0,0,MO,0.7,0.7,17.0,0.9258,801.0,0.7428,,-1,
regular,5663,2017,1491,0,0,0,1,40.0,0,TX,0.5,0.5,88.0,0.6944,1653.0,0.5038,,-1,
regular,5663,2018,1657,1,1,0,2,20.0,1,TX,0.5455,0.6,19.0,0.9481,247.0,0.9317,Alliance 7,3,
regular,5665,2023,1575,3,0,0,4,10.0,0,TX,0.7,0.7,45.0,0.8913,691.0,0.7896,,-1,
regular,5667,2015,1493,0,0,0,3,62.0,0,MO,0.0,0.0,28.0,0.5,1363.0,0.5256,,-1,
regular,5667,2019,1664,1,0,1,2,29.0,0,MI,0.6,0.6,3.0,0.9545,241.0,0.9359,,-1,
regular,5667,2023,1577,1,1,0,1,38.0,0,TX,0.6,0.6,18.0,0.6727,680.0,0.7929,,-1,
regular,5672,2019,1467,4,1,0,5,68.0,0,MI,0.1,0.1,136.0,0.2093,2285.0,0.3923,,-1,
regular,5674,2018,1623,0,0,2,4,44.0,0,MI,0.5,0.5,76.0,0.8498,376.0,0.896,,-1,
regular,5675,2017,1702,2,2,0,3,19.0,0,MO,0.6,0.6,25.0,0.9442,136.0,0.9592,,-1,
regular,5675,2018,1642,0,0,0,2,21.0,1,MI,0.5455,0.6,62.0,0.8775,291.0,0.9195,Alliance 8,1,
regular,5675,2023,1599,1,1,0,3,58.0,0,TX,0.3,0.3,85.0,0.8218,508.0,0.8453,,-1,
regular,5676,2019,1730,0,0,1,1,27.0,1,MI,0.4545,0.5,25.0,0.9536,105.0,0.9721,Alliance 4,2,
regular,5677,2016,1522,0,0,1,4,54.0,0,MO,0.4,0.4,80.0,0.6887,1115.0,0.6419,,-1,
regular,5677,2017,1569,0,0,1,2,34.0,0,TX,0.55,0.55,55.0,0.8029,738.0,0.7784,Alliance 4,3,
regular,5678,2015,1504,0,0,0,1,59.0,0,MO,0.0,0.0,92.0,0.6102,1208.0,0.5795,,-1,
regular,5678,2018,1440,0,0,0,0,28.0,0,TX,0.5,0.5,234.0,0.25,2725.0,0.2466,,-1,
regular,5679,2016,1501,1,1,2,5,67.0,0,MO,0.25,0.25,26.0,0.5,1417.0,0.545,,-1,
regular,568,2012,1488,0,0,0,0,48.0,0,MO,0.3333,0.3333,1.0,0.5,1198.0,0.4863,,-1,
regular,568,2015,1557,0,0,1,1,43.0,0,MO,0.0,0.0,1.0,0.0,638.0,0.7779,,-1,
regular,568,2018,1520,0,0,0,2,54.0,0,TX,0.4444,0.4444,1.0,0.0,1386.0,0.6168,,-1,
regular,568,2019,1448,0,0,0,4,53.0,0,TX,0.35,0.35,1.0,0.0,2664.0,0.2915,,-1,
regular,5686,2016,1517,1,1,0,1,56.0,0,MO,0.4,0.4,29.0,0.3958,1186.0,0.6191,,-1,
regular,5687,2015,1664,2,2,0,7,13.0,0,MO,0.0,0.0,4.0,0.8095,186.0,0.9353,,-1,
regular,5687,2017,1796,2,2,1,8,6.0,6,MO,0.75,0.6,1.0,0.9615,33.0,0.9901,Alliance 3,1,
regular,5687,2018,1735,3,3,0,6,11.0,3,MI,0.6923,0.8,2.0,0.9231,100.0,0.9724,Alliance 3,2,
regular,5687,2019,1862,3,3,0,7,10.0,2,MI,0.5417,0.65,1.0,0.9524,18.0,0.9952,Alliance 4,1,
regular,5687,2023,1702,1,1,0,5,20.0,4,TX,0.5,0.5,3.0,0.8333,144.0,0.9562,Alliance 4,2,
regular,5689,2015,1482,0,0,0,1,55.0,0,MO,0.0,0.0,61.0,0.5234,1543.0,0.4629,,-1,
regular,5690,2016,1546,0,0,1,3,38.0,0,MO,0.5,0.5,30.0,0.8558,842.0,0.7296,,-1,
regular,5690,2017,1648,1,1,1,2,9.0,6,MO,0.5938,0.65,9.0,0.9567,260.0,0.9219,Alliance 7,0,
regular,5690,2019,1536,1,1,0,1,67.0,0,MI,0.2222,0.2222,56.0,0.7466,1195.0,0.6822,,-1,
regular,5692,2015,1541,1,1,0,1,41.0,0,MO,0.0,0.0,123.0,0.6435,779.0,0.7289,,-1,
regular,5696,2017,1477,1,1,0,1,61.0,0,TX,0.3,0.3,101.0,0.6493,1845.0,0.4461,,-1,
regular,57,2008,1591,1,1,0,2,47.0,0,GA,0.4286,0.4286,6.0,0.8667,227.0,0.8485,,-1,
regular,57,2011,1609,1,0,1,4,18.0,0,MO,0.65,0.65,11.0,0.9225,280.0,0.8636,,-1,
regular,57,2015,1627,0,0,1,1,13.0,0,MO,0.0,0.0,10.0,0.9248,303.0,0.8945,,-1,
regular,57,2016,1580,0,0,1,3,10.0,2,MO,0.5833,0.7,20.0,0.8582,546.0,0.8247,Alliance 7,0,
regular,5700,2018,1538,0,0,0,3,67.0,0,TX,0.1,0.1,96.0,0.6923,1141.0,0.6845,,-1,
regular,5700,2019,1560,2,2,0,2,31.0,0,TX,0.5,0.5,82.0,0.7355,929.0,0.7529,,-1,
regular,5705,2017,1402,0,0,1,4,67.0,0,TX,0.1,0.1,225.0,0.2188,2974.0,0.1072,,-1,
regular,5705,2022,1472,2,0,0,2,56.0,0,TX,0.6111,0.6111,134.0,0.5927,1859.0,0.3911,,-1,
regular,5709,2017,1599,0,0,1,4,35.0,0,MO,0.5,0.5,95.0,0.7879,506.0,0.8481,,-1,
regular,571,2012,1543,0,0,0,0,69.0,0,MO,0.4444,0.4444,20.0,0.5122,655.0,0.7191,,-1,
regular,5710,2015,1583,0,0,1,2,55.0,0,MO,0.0,0.0,86.0,0.7507,465.0,0.8381,,-1,
regular,5712,2015,1548,2,2,0,4,68.0,0,MO,0.0,0.0,115.0,0.6667,723.0,0.7483,,-1,
regular,5712,2016,1591,0,0,0,1,34.0,0,MO,0.55,0.55,95.0,0.7689,477.0,0.8468,,-1,
regular,5712,2018,1609,0,0,1,5,31.0,0,MI,0.5556,0.5556,96.0,0.8103,466.0,0.8712,Alliance 8,3,
regular,5712,2019,1648,0,0,0,3,38.0,0,MI,0.5,0.5,64.0,0.8813,299.0,0.9205,Alliance 5,2,
regular,5712,2022,1739,3,2,0,5,15.0,2,TX,0.5417,0.65,12.0,0.9733,80.0,0.9738,Alliance 8,1,
regular,5712,2023,1681,2,1,0,4,50.0,4,TX,0.5,0.5,31.0,0.935,181.0,0.9449,Alliance 4,2,
regular,5716,2018,1494,1,1,0,2,63.0,0,TX,0.2,0.2,138.0,0.623,1768.0,0.5112,,-1,
regular,5716,2019,1413,0,0,1,3,59.0,0,TX,0.2222,0.2222,315.0,0.1902,3234.0,0.1399,,-1,
regular,5719,2015,1553,1,1,0,4,31.0,0,MO,0.0,0.0,29.0,0.7734,669.0,0.7671,,-1,
regular,5724,2018,1573,1,1,0,2,24.0,0,MI,0.5,0.5,22.0,0.7067,742.0,0.7949,,-1,
regular,5724,2019,1597,1,1,0,1,64.0,0,MI,0.1,0.1,20.0,0.7333,606.0,0.8388,,-1,
regular,5724,2022,1561,2,2,1,4,61.0,0,TX,0.35,0.35,22.0,0.6508,706.0,0.7688,,-1,
regular,5724,2023,1603,0,0,0,1,53.0,0,TX,0.5,0.5,15.0,0.7727,483.0,0.8529,,-1,
regular,5725,2015,1493,0,0,0,1,70.0,0,MO,0.0,0.0,11.0,0.5217,1361.0,0.5263,,-1,
regular,5726,2016,1483,1,1,0,1,41.0,0,MO,0.5,0.5,49.0,0.6525,1669.0,0.464,,-1,
regular,5726,2018,1470,1,1,0,1,58.0,0,TX,0.2,0.2,76.0,0.528,2196.0,0.3929,,-1,
regular,5727,2022,1692,3,1,0,5,22.0,4,TX,0.5714,0.6,2.0,0.9692,151.0,0.9505,Alliance 7,2,
regular,5727,2023,1724,2,0,1,4,11.0,4,TX,0.5714,0.6,1.0,0.9863,105.0,0.968,Alliance 4,1,
regular,573,2007,1667,1,1,0,2,20.0,0,GA,0.6429,0.6429,9.0,0.9159,72.0,0.9433,,-1,
regular,573,2008,1604,0,0,0,1,48.0,0,GA,0.4286,0.4286,24.0,0.7949,189.0,0.8738,,-1,
regular,573,2009,1584,0,0,0,1,21.0,0,GA,0.7143,0.7143,37.0,0.7197,293.0,0.8251,,-1,
regular,573,2010,1839,1,1,0,4,13.0,3,GA,0.6154,0.7,6.0,0.9559,11.0,0.9939,,2,
regular,573,2011,1769,0,0,0,3,25.0,0,MO,0.6,0.6,11.0,0.9345,33.0,0.9839,,-1,
regular,573,2012,1701,0,0,1,1,9.0,5,MO,0.6071,0.7222,19.0,0.9,91.0,0.961,,0,
regular,573,2014,1658,0,0,0,3,15.0,6,MO,0.6875,0.7,34.0,0.8773,179.0,0.9336,,2,
regular,573,2015,1725,0,0,1,2,13.0,0,MO,0.0,0.0,22.0,0.9362,85.0,0.9704,,0,
regular,573,2016,1649,0,0,1,3,15.0,0,MO,0.7,0.7,52.0,0.8735,234.0,0.9249,,-1,
regular,573,2018,1566,0,0,1,2,44.0,0,MI,0.4,0.4,152.0,0.6996,834.0,0.7694,,-1,
regular,573,2022,1632,0,0,0,2,46.0,0,TX,0.4,0.4,61.0,0.8644,283.0,0.9073,,-1,
