Independent Variable,rank,worlds_qual_winrate,worlds_winrate
blue_banners,0.14314351497376135,0.05068915902074516,0.1600900077762644
norm_epa,0.524653258668549,0.17242257826614854,0.40704663562861754
state_epa_percentile,0.34566616877113016,0.135003374092385,0.3258918933922533
state_epa_rank,0.1751602387409497,0.05783002384326631,0.22255557890904112
total_epa_percentile,0.4651047633709258,0.17682837626995357,0.3448508605686368
total_epa_rank,0.4363706069748678,0.15792207849417414,0.35123473699805985
